Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,712232568,sweda,0,356.25,PG T.J. McConnell SG Malcolm Brogdon SF Justin Anderson PF Blake Griffin C Dwight Howard G Russell Westbrook F Timothé Luwawu-Cabarrot UTIL Nik Stauskas,,Justin Anderson,96.49%,17
2,711836751,Fireball21,0,344.25,PG Russell Westbrook SG Nik Stauskas SF Justin Anderson PF Zach Randolph C Dwight Howard G T.J. McConnell F Timothé Luwawu-Cabarrot UTIL DeAndre Jordan,,T.J. McConnell,89.47%,30.75
2,711975458,curry_burrito,0,344.25,PG Russell Westbrook SG Nik Stauskas SF Justin Anderson PF Zach Randolph C DeAndre Jordan G T.J. McConnell F Timothé Luwawu-Cabarrot UTIL Dwight Howard,,Timothé Luwawu-Cabarrot,78.95%,26
2,712034747,soupajaff,0,344.25,PG Russell Westbrook SG Nik Stauskas SF Justin Anderson PF Zach Randolph C Dwight Howard G T.J. McConnell F Timothé Luwawu-Cabarrot UTIL DeAndre Jordan,,Russell Westbrook,75.44%,99.75
2,712057229,madoublet98,0,344.25,PG Russell Westbrook SG Nik Stauskas SF Justin Anderson PF Zach Randolph C Dwight Howard G T.J. McConnell F Timothé Luwawu-Cabarrot UTIL DeAndre Jordan,,Zach Randolph,71.93%,29.5
2,712069689,Hunta512,0,344.25,PG T.J. McConnell SG Nik Stauskas SF Justin Anderson PF Zach Randolph C Dwight Howard G Russell Westbrook F Timothé Luwawu-Cabarrot UTIL DeAndre Jordan,,DeAndre Jordan,42.11%,53.5
7,711908704,youdacao,0,325.75,PG T.J. McConnell SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Dario Saric C Dwight Howard G Chris Paul F Blake Griffin UTIL DeAndre Jordan,,Dwight Howard,40.35%,56
7,712216043,KOutplayed,0,325.75,PG T.J. McConnell SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Blake Griffin C Dwight Howard G Chris Paul F Dario Saric UTIL DeAndre Jordan,,Dario Saric,36.84%,31.75
9,712053674,MrTuttle05,0,321.25,PG Russell Westbrook SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Zach Randolph C Dwight Howard G T.J. McConnell F Blake Griffin UTIL Danté Exum,,Nik Stauskas,33.33%,31.75
10,711769392,ChipotleAddict,0,320,PG Russell Westbrook SG Nik Stauskas SF Timothé Luwawu-Cabarrot PF Justin Anderson C DeAndre Jordan G T.J. McConnell F Dario Saric UTIL Zach Randolph,,Rudy Gobert,29.82%,36.25
10,711835780,Makisupa,0,320,PG Russell Westbrook SG Nik Stauskas SF Justin Anderson PF Dario Saric C DeAndre Jordan G T.J. McConnell F Zach Randolph UTIL Timothé Luwawu-Cabarrot,,Carmelo Anthony,17.54%,18.75
10,711906167,Dinkpiece,0,320,PG Russell Westbrook SG Nik Stauskas SF Justin Anderson PF Dario Saric C Zach Randolph G T.J. McConnell F Timothé Luwawu-Cabarrot UTIL DeAndre Jordan,,Brandan Wright,14.04%,23.5
10,711921513,benstunner,0,320,PG Russell Westbrook SG Nik Stauskas SF Justin Anderson PF Dario Saric C Zach Randolph G T.J. McConnell F Timothé Luwawu-Cabarrot UTIL DeAndre Jordan,,Blake Griffin,12.28%,56.5
10,712129261,craftylefty,0,320,PG Russell Westbrook SG Nik Stauskas SF Timothé Luwawu-Cabarrot PF Justin Anderson C Zach Randolph G T.J. McConnell F Dario Saric UTIL DeAndre Jordan,,Chris Paul,10.53%,54.25
10,712270516,ineedmoney23,0,320,PG Russell Westbrook SG Nik Stauskas SF Timothé Luwawu-Cabarrot PF Dario Saric C DeAndre Jordan G T.J. McConnell F Justin Anderson UTIL Zach Randolph,,Monta Ellis,8.77%,10.25
10,712280373,MJordan23,0,320,PG T.J. McConnell SG Nik Stauskas SF Justin Anderson PF Dario Saric C DeAndre Jordan G Timothé Luwawu-Cabarrot F Zach Randolph UTIL Russell Westbrook,,Gerald Henderson,8.77%,14
17,712021609,btjordan23,0,316.25,PG T.J. McConnell SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Zach Randolph C Rudy Gobert G Russell Westbrook F Brandan Wright UTIL DeAndre Jordan,,Guillermo Hernangómez,8.77%,23.25
17,712038997,Notorious,0,316.25,PG Russell Westbrook SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Zach Randolph C Rudy Gobert G T.J. McConnell F Brandan Wright UTIL DeAndre Jordan,,Greg Monroe,7.02%,30.5
17,712069900,BirdWings,0,316.25,PG T.J. McConnell SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Zach Randolph C DeAndre Jordan G Russell Westbrook F Brandan Wright UTIL Rudy Gobert,,Georgios Papagiannis,7.02%,14.25
17,712127148,eddiecas08,0,316.25,PG Russell Westbrook SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Zach Randolph C Rudy Gobert G T.J. McConnell F Brandan Wright UTIL DeAndre Jordan,,Stephen Curry,7.02%,53.75
17,712281690,Jrake,0,316.25,PG Russell Westbrook SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Brandan Wright C Rudy Gobert G T.J. McConnell F Zach Randolph UTIL DeAndre Jordan,,Rodney Hood,5.26%,28.75
22,712181597,core649,0,313.25,PG Russell Westbrook SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Zach Randolph C Greg Monroe G T.J. McConnell F Blake Griffin UTIL Guillermo Hernangómez,,Anthony Davis,5.26%,56.25
23,712200333,Superstars92,0,310.25,PG Isaiah Thomas SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Blake Griffin C DeAndre Jordan G Chris Paul F Dario Saric UTIL Willie Cauley-Stein,,Darren Collison,5.26%,17
24,712147836,themasterson,0,310,PG Russell Westbrook SG Ron Baker SF Justin Anderson PF Dario Saric C DeMarcus Cousins G Nik Stauskas F Brandan Wright UTIL Zach Randolph,,Willie Cauley-Stein,5.26%,20
